[2022-11-16 23:08:49,558] DEBUG - creating thumbnail..
[2022-11-16 23:09:05,844] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:05,844] DEBUG - STREAM b'IDAT' 119 16139
[2022-11-16 23:09:05,845] DEBUG - STREAM b'tEXt' 16270 37
[2022-11-16 23:09:05,845] DEBUG - STREAM b'tEXt' 16319 37
[2022-11-16 23:09:05,845] DEBUG - STREAM b'tEXt' 16368 40
[2022-11-16 23:09:05,845] DEBUG - STREAM b'tEXt' 16420 29
[2022-11-16 23:09:05,847] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-5.wav
[2022-11-16 23:09:07,022] DEBUG - start, 0.0, end, 5.68, text,  Algorithms work by taking some input, performing a series of operations on that input.
[2022-11-16 23:09:07,022] DEBUG - start, 5.68, end, 7.6000000000000005, text,  And then outputting a result.
[2022-11-16 23:09:07,023] DEBUG - start, 7.6000000000000005, end, 13.72, text,  The specific operations that an algorithm performs will depend on the type of algorithm it is.
[2022-11-16 23:09:07,024] DEBUG - start, 13.72, end, 18.56, text,  For example, a sorting algorithm will take a list of numbers as input and output,
[2022-11-16 23:09:07,024] DEBUG - start, 18.56, end, 48.519999999999996, text,  a new list with the numbers sorted in ascending or descending order.
[2022-11-16 23:09:07,265] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:07,265] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:07,265] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:07,265] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:07,265] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:07,265] DEBUG - STREAM b'IDAT' 119 28187
[2022-11-16 23:09:07,268] DEBUG - STREAM b'tEXt' 28318 37
[2022-11-16 23:09:07,269] DEBUG - STREAM b'tEXt' 28367 37
[2022-11-16 23:09:07,269] DEBUG - STREAM b'tEXt' 28416 40
[2022-11-16 23:09:07,269] DEBUG - STREAM b'tEXt' 28468 92
[2022-11-16 23:09:07,413] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:07,413] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:07,413] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:07,413] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:07,413] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:07,413] DEBUG - STREAM b'IDAT' 119 8633
[2022-11-16 23:09:07,414] DEBUG - STREAM b'tEXt' 8764 37
[2022-11-16 23:09:07,414] DEBUG - STREAM b'tEXt' 8813 37
[2022-11-16 23:09:07,414] DEBUG - STREAM b'tEXt' 8862 40
[2022-11-16 23:09:07,414] DEBUG - STREAM b'tEXt' 8914 35
[2022-11-16 23:09:07,546] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:07,546] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:07,546] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:07,546] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:07,546] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:07,546] DEBUG - STREAM b'IDAT' 119 29028
[2022-11-16 23:09:07,548] DEBUG - STREAM b'tEXt' 29159 37
[2022-11-16 23:09:07,548] DEBUG - STREAM b'tEXt' 29208 37
[2022-11-16 23:09:07,548] DEBUG - STREAM b'tEXt' 29257 40
[2022-11-16 23:09:07,548] DEBUG - STREAM b'tEXt' 29309 100
[2022-11-16 23:09:07,652] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:07,652] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:07,652] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:07,652] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:07,652] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:07,653] DEBUG - STREAM b'IDAT' 119 25208
[2022-11-16 23:09:07,654] DEBUG - STREAM b'tEXt' 25339 37
[2022-11-16 23:09:07,654] DEBUG - STREAM b'tEXt' 25388 37
[2022-11-16 23:09:07,654] DEBUG - STREAM b'tEXt' 25437 40
[2022-11-16 23:09:07,654] DEBUG - STREAM b'tEXt' 25489 87
[2022-11-16 23:09:07,751] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:07,751] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:07,751] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:07,751] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:07,751] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:07,751] DEBUG - STREAM b'IDAT' 119 22632
[2022-11-16 23:09:07,752] DEBUG - STREAM b'tEXt' 22763 37
[2022-11-16 23:09:07,752] DEBUG - STREAM b'tEXt' 22812 37
[2022-11-16 23:09:07,752] DEBUG - STREAM b'tEXt' 22861 40
[2022-11-16 23:09:07,752] DEBUG - STREAM b'tEXt' 22913 74
[2022-11-16 23:09:08,559] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:08,559] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:08,559] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:08,559] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:08,559] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:08,559] DEBUG - STREAM b'IDAT' 119 21115
[2022-11-16 23:09:08,560] DEBUG - STREAM b'tEXt' 21246 37
[2022-11-16 23:09:08,560] DEBUG - STREAM b'tEXt' 21295 37
[2022-11-16 23:09:08,560] DEBUG - STREAM b'tEXt' 21344 40
[2022-11-16 23:09:08,560] DEBUG - STREAM b'tEXt' 21396 48
[2022-11-16 23:09:08,563] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-7.wav
[2022-11-16 23:09:09,675] DEBUG - start, 0.0, end, 4.64, text,  Algorithms can be used to solve problems more efficiently than traditional methods.
[2022-11-16 23:09:09,675] DEBUG - start, 4.64, end, 10.24, text,  For example, a sorting algorithm can sort a large list of numbers much faster than a person
[2022-11-16 23:09:09,676] DEBUG - start, 10.24, end, 11.24, text,  could.
[2022-11-16 23:09:09,677] DEBUG - start, 11.24, end, 15.76, text,  In addition, algorithms can be used to solve problems that are too difficult for humans
[2022-11-16 23:09:09,677] DEBUG - start, 15.76, end, 45.6, text,  to solve, such as finding the shortest path between two points.
[2022-11-16 23:09:09,769] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:09,769] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:09,769] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:09,769] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:09,769] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:09,769] DEBUG - STREAM b'IDAT' 119 27388
[2022-11-16 23:09:09,770] DEBUG - STREAM b'tEXt' 27519 37
[2022-11-16 23:09:09,771] DEBUG - STREAM b'tEXt' 27568 37
[2022-11-16 23:09:09,771] DEBUG - STREAM b'tEXt' 27617 40
[2022-11-16 23:09:09,771] DEBUG - STREAM b'tEXt' 27669 89
[2022-11-16 23:09:09,868] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:09,868] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:09,868] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:09,868] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:09,868] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:09,868] DEBUG - STREAM b'IDAT' 119 28352
[2022-11-16 23:09:09,869] DEBUG - STREAM b'tEXt' 28483 37
[2022-11-16 23:09:09,869] DEBUG - STREAM b'tEXt' 28532 37
[2022-11-16 23:09:09,870] DEBUG - STREAM b'tEXt' 28581 40
[2022-11-16 23:09:09,870] DEBUG - STREAM b'tEXt' 28633 97
[2022-11-16 23:09:09,943] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:09,943] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:09,943] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:09,943] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:09,943] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:09,943] DEBUG - STREAM b'IDAT' 119 2104
[2022-11-16 23:09:09,943] DEBUG - STREAM b'tEXt' 2235 37
[2022-11-16 23:09:09,943] DEBUG - STREAM b'tEXt' 2284 37
[2022-11-16 23:09:09,943] DEBUG - STREAM b'tEXt' 2333 40
[2022-11-16 23:09:09,943] DEBUG - STREAM b'tEXt' 2385 12
[2022-11-16 23:09:10,042] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:10,043] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:10,043] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:10,043] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:10,043] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:10,043] DEBUG - STREAM b'IDAT' 119 27299
[2022-11-16 23:09:10,044] DEBUG - STREAM b'tEXt' 27430 37
[2022-11-16 23:09:10,044] DEBUG - STREAM b'tEXt' 27479 37
[2022-11-16 23:09:10,044] DEBUG - STREAM b'tEXt' 27528 40
[2022-11-16 23:09:10,045] DEBUG - STREAM b'tEXt' 27580 93
[2022-11-16 23:09:10,150] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:10,151] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:10,151] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:10,151] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:10,151] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:10,151] DEBUG - STREAM b'IDAT' 119 21552
[2022-11-16 23:09:10,152] DEBUG - STREAM b'tEXt' 21683 37
[2022-11-16 23:09:10,152] DEBUG - STREAM b'tEXt' 21732 37
[2022-11-16 23:09:10,152] DEBUG - STREAM b'tEXt' 21781 40
[2022-11-16 23:09:10,152] DEBUG - STREAM b'tEXt' 21833 69
[2022-11-16 23:09:10,977] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:10,977] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:10,977] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:10,977] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:10,977] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:10,977] DEBUG - STREAM b'IDAT' 119 27338
[2022-11-16 23:09:10,979] DEBUG - STREAM b'tEXt' 27469 37
[2022-11-16 23:09:10,979] DEBUG - STREAM b'tEXt' 27518 37
[2022-11-16 23:09:10,979] DEBUG - STREAM b'tEXt' 27567 40
[2022-11-16 23:09:10,979] DEBUG - STREAM b'tEXt' 27619 53
[2022-11-16 23:09:10,982] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-9.wav
[2022-11-16 23:09:12,202] DEBUG - start, 0.0, end, 4.0, text,  There are a few potential disadvantages of using algorithms.
[2022-11-16 23:09:12,202] DEBUG - start, 4.0, end, 10.0, text,  First, if an algorithm is not designed properly, it may not produce the desired results.
[2022-11-16 23:09:12,203] DEBUG - start, 10.0, end, 17.0, text,  Second, some algorithms can be very complex, making them difficult to understand and debug.
[2022-11-16 23:09:12,203] DEBUG - start, 17.0, end, 24.0, text,  Finally, algorithms can be computationally expensive, meaning they may require a lot of time and resources to run.
[2022-11-16 23:09:12,293] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:12,293] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:12,293] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:12,293] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:12,293] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:12,293] DEBUG - STREAM b'IDAT' 119 21635
[2022-11-16 23:09:12,294] DEBUG - STREAM b'tEXt' 21766 37
[2022-11-16 23:09:12,294] DEBUG - STREAM b'tEXt' 21815 37
[2022-11-16 23:09:12,294] DEBUG - STREAM b'tEXt' 21864 40
[2022-11-16 23:09:12,294] DEBUG - STREAM b'tEXt' 21916 66
[2022-11-16 23:09:12,394] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:12,394] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:12,394] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:12,394] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:12,394] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:12,395] DEBUG - STREAM b'IDAT' 119 26918
[2022-11-16 23:09:12,395] DEBUG - STREAM b'tEXt' 27049 37
[2022-11-16 23:09:12,395] DEBUG - STREAM b'tEXt' 27098 37
[2022-11-16 23:09:12,395] DEBUG - STREAM b'tEXt' 27147 40
[2022-11-16 23:09:12,395] DEBUG - STREAM b'tEXt' 27199 94
[2022-11-16 23:09:12,499] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:12,499] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:12,499] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:12,499] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:12,499] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:12,499] DEBUG - STREAM b'IDAT' 119 30709
[2022-11-16 23:09:12,499] DEBUG - STREAM b'tEXt' 30840 37
[2022-11-16 23:09:12,499] DEBUG - STREAM b'tEXt' 30889 37
[2022-11-16 23:09:12,499] DEBUG - STREAM b'tEXt' 30938 40
[2022-11-16 23:09:12,499] DEBUG - STREAM b'tEXt' 30990 97
[2022-11-16 23:09:12,613] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:12,613] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:12,613] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:12,613] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:12,613] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:12,614] DEBUG - STREAM b'IDAT' 119 32768
[2022-11-16 23:09:12,615] DEBUG - STREAM b'tEXt' 37588 37
[2022-11-16 23:09:12,615] DEBUG - STREAM b'tEXt' 37637 37
[2022-11-16 23:09:12,615] DEBUG - STREAM b'tEXt' 37686 40
[2022-11-16 23:09:12,615] DEBUG - STREAM b'tEXt' 37738 120
[2022-11-16 23:09:13,412] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:13,412] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:13,412] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:13,412] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:13,412] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:13,412] DEBUG - STREAM b'IDAT' 119 29356
[2022-11-16 23:09:13,414] DEBUG - STREAM b'tEXt' 29487 37
[2022-11-16 23:09:13,414] DEBUG - STREAM b'tEXt' 29536 37
[2022-11-16 23:09:13,414] DEBUG - STREAM b'tEXt' 29585 40
[2022-11-16 23:09:13,414] DEBUG - STREAM b'tEXt' 29637 55
[2022-11-16 23:09:13,418] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-11.wav
[2022-11-16 23:09:14,166] DEBUG - start, 0.0, end, 4.5, text,  There are many different techniques that can be used to design algorithms.
[2022-11-16 23:09:14,166] DEBUG - start, 4.5, end, 11.5, text,  But some of the most common include greedy algorithms, dynamic programming, and divide and conquer.
[2022-11-16 23:09:14,363] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:14,363] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:14,363] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:14,363] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:14,363] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:14,363] DEBUG - STREAM b'IDAT' 119 24708
[2022-11-16 23:09:14,364] DEBUG - STREAM b'tEXt' 24839 37
[2022-11-16 23:09:14,364] DEBUG - STREAM b'tEXt' 24888 37
[2022-11-16 23:09:14,364] DEBUG - STREAM b'tEXt' 24937 40
[2022-11-16 23:09:14,364] DEBUG - STREAM b'tEXt' 24989 80
[2022-11-16 23:09:14,471] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:14,471] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:14,471] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:14,471] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:14,472] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:14,472] DEBUG - STREAM b'IDAT' 119 32591
[2022-11-16 23:09:14,473] DEBUG - STREAM b'tEXt' 32722 37
[2022-11-16 23:09:14,473] DEBUG - STREAM b'tEXt' 32771 37
[2022-11-16 23:09:14,473] DEBUG - STREAM b'tEXt' 32820 40
[2022-11-16 23:09:14,473] DEBUG - STREAM b'tEXt' 32872 105
[2022-11-16 23:09:15,268] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:15,269] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:15,269] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:15,269] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:15,269] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:15,269] DEBUG - STREAM b'IDAT' 119 25746
[2022-11-16 23:09:15,271] DEBUG - STREAM b'tEXt' 25877 37
[2022-11-16 23:09:15,271] DEBUG - STREAM b'tEXt' 25926 37
[2022-11-16 23:09:15,271] DEBUG - STREAM b'tEXt' 25975 40
[2022-11-16 23:09:15,271] DEBUG - STREAM b'tEXt' 26027 51
[2022-11-16 23:09:15,274] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-13.wav
[2022-11-16 23:09:16,065] DEBUG - start, 0.0, end, 5.3, text,  There are many optimization techniques that can be used to improve the performance of algorithms.
[2022-11-16 23:09:16,065] DEBUG - start, 5.3, end, 11.6, text,  Some common techniques include data-catching, resource-prefetching, and parallelization.
[2022-11-16 23:09:16,273] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:16,273] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:16,274] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:16,274] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:16,274] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:16,274] DEBUG - STREAM b'IDAT' 119 31936
[2022-11-16 23:09:16,275] DEBUG - STREAM b'tEXt' 32067 37
[2022-11-16 23:09:16,275] DEBUG - STREAM b'tEXt' 32116 37
[2022-11-16 23:09:16,275] DEBUG - STREAM b'tEXt' 32165 40
[2022-11-16 23:09:16,275] DEBUG - STREAM b'tEXt' 32217 103
[2022-11-16 23:09:16,382] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:16,382] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:16,382] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:16,382] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:16,382] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:16,382] DEBUG - STREAM b'IDAT' 119 29749
[2022-11-16 23:09:16,383] DEBUG - STREAM b'tEXt' 29880 37
[2022-11-16 23:09:16,383] DEBUG - STREAM b'tEXt' 29929 37
[2022-11-16 23:09:16,383] DEBUG - STREAM b'tEXt' 29978 40
[2022-11-16 23:09:16,383] DEBUG - STREAM b'tEXt' 30030 94
[2022-11-16 23:09:17,194] DEBUG - STREAM b'IHDR' 16 13
[2022-11-16 23:09:17,194] DEBUG - STREAM b'gAMA' 41 4
[2022-11-16 23:09:17,194] DEBUG - STREAM b'cHRM' 57 32
[2022-11-16 23:09:17,194] DEBUG - STREAM b'bKGD' 101 6
[2022-11-16 23:09:17,194] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-16 23:09:17,194] DEBUG - STREAM b'IDAT' 119 30269
[2022-11-16 23:09:17,195] DEBUG - STREAM b'tEXt' 30400 37
[2022-11-16 23:09:17,195] DEBUG - STREAM b'tEXt' 30449 37
[2022-11-16 23:09:17,195] DEBUG - STREAM b'tEXt' 30498 40
[2022-11-16 23:09:17,195] DEBUG - STREAM b'tEXt' 30550 58
[2022-11-16 23:09:17,199] DEBUG - transcribing audio file in path scripts\V2h5IEFsZ29yaXRobXMgTWF0dGVyIGluIE1hY2hpbmUgTGVhcm5pbmc\audio\audio-15.wav
[2022-11-16 23:09:17,875] DEBUG - start, 0.0, end, 5.42, text,  Algorithms can be parallelized in many different ways, but some of the most common methods
[2022-11-16 23:09:17,875] DEBUG - start, 5.42, end, 32.42, text,  include multi-processing, multi-threading, and GPU computing.
